#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_antium;Antium;Antium;Antium;;Antium;;;;;;;;;x
b_antium_adj;Antiumian;;antiumer;;;;;;;;;;;x
b_arretium;Arretium;Arretium;Arretium;;Arretium;;;;;;;;;x
b_arretium_adj;Arretiumian;;arretiumer;;;;;;;;;;;x
b_caisra;Caisra;Caisra;Caisra;;Caisra;;;;;;;;;x
b_caisra_adj;Caisran;;caisrer;;;;;;;;;;;x
b_cortona;Cortona;Cortona;Cortona;;Cortona;;;;;;;;;x
b_cortona_adj;Cortonan;;cortoner;;;;;;;;;;;x
b_cosa;Cosa;Cosa;Cosa;;Cosa;;;;;;;;;x
b_cosa_adj;Cosan;;coser;;;;;;;;;;;x
b_faesulae;Faesulae;Faesulae;Faesulae;;Faesulae;;;;;;;;;x
b_faesulae_adj;Faesulaean;;faesuler;;;;;;;;;;;x
b_falerii;Falerii;Falerii;Falerii;;Falerii;;;;;;;;;x
b_falerii_adj;Falerian;;falerer;;;;;;;;;;;x
b_florentia;Florentia;Florentia;Florentia;;Florentia;;;;;;;;;x
b_florentia_adj;Florentian;;florenter;;;;;;;;;;;x
b_gabii;Gabii;Gabii;Gabii;;Gabii;;;;;;;;;x
b_gabii_adj;Gabian;;gaber;;;;;;;;;;;x
b_graviscae;Graviscae;Graviscae;Graviscae;;Graviscae;;;;;;;;;x
b_graviscae_adj;Graviscaean;;graviscer;;;;;;;;;;;x
b_hispellum;Hispellum;Hispellum;Hispellum;;Hispellum;;;;;;;;;x
b_hispellum_adj;Hispellumian;;hispellumer;;;;;;;;;;;x
b_luca;Luca;Luca;Luca;;Luca;;;;;;;;;x
b_luca_adj;Lucan;;lucer;;;;;;;;;;;x
b_ostia;Ostia;Ostia;Ostia;;Ostia;;;;;;;;;x
b_ostia_adj;Ostian;;oster;;;;;;;;;;;x
b_pisae;Pisae;Pisae;Pisae;;Pisae;;;;;;;;;x
b_pisae_adj;Pisaean;;piser;;;;;;;;;;;x
b_populonia;Populonia;Populonia;Populonia;;Populonia;;;;;;;;;x
b_populonia_adj;Populonian;;populoner;;;;;;;;;;;x
b_reate;Reate;Reate;Reate;;Reate;;;;;;;;;x
b_reate_adj;Reatean;;reater;;;;;;;;;;;x
b_rome;Rome;Rome;Rome;;Rome;;;;;;;;;x
b_rome_adj;Romean;;romer;;;;;;;;;;;x
b_rusellac;Rusellac;Rusellac;Rusellac;;Rusellac;;;;;;;;;x
b_rusellac_adj;Rusellacian;;rusellacer;;;;;;;;;;;x
b_sentinum;Sentinum;Sentinum;Sentinum;;Sentinum;;;;;;;;;x
b_sentinum_adj;Sentinumian;;sentinumer;;;;;;;;;;;x
b_tarchna;Tarchna;Tarchna;Tarchna;;Tarchna;;;;;;;;;x
b_tarchna_adj;Tarchnan;;tarchner;;;;;;;;;;;x
b_tarquinii;Tarquinii;Tarquinii;Tarquinii;;Tarquinii;;;;;;;;;x
b_tarquinii_adj;Tarquinian;;tarquiner;;;;;;;;;;;x
b_terracinia;Terracinia;Terracinia;Terracinia;;Terracinia;;;;;;;;;x
b_terracinia_adj;Terracinian;;terraciner;;;;;;;;;;;x
b_tibur;Tibur;Tibur;Tibur;;Tibur;;;;;;;;;x
b_tibur_adj;Tiburian;;tiburer;;;;;;;;;;;x
b_tuder;Tuder;Tuder;Tuder;;Tuder;;;;;;;;;x
b_tuder_adj;Tuderian;;tuderer;;;;;;;;;;;x
b_tusculum  ;Tusculum  ;Tusculum  ;Tusculum  ;;Tusculum  ;;;;;;;;;x
b_tusculum  _adj;Tusculum  ian;;tusculum  er;;;;;;;;;;;x
b_veii;Veii;Veii;Veii;;Veii;;;;;;;;;x
b_veii_adj;Vian;;ver;;;;;;;;;;;x
b_vetulonia;Vetulonia;Vetulonia;Vetulonia;;Vetulonia;;;;;;;;;x
b_vetulonia_adj;Vetulonian;;vetuloner;;;;;;;;;;;x
b_volaterrae;Volaterrae;Volaterrae;Volaterrae;;Volaterrae;;;;;;;;;x
b_volaterrae_adj;Volaterraean;;volaterrer;;;;;;;;;;;x
b_volsinii;Volsinii;Volsinii;Volsinii;;Volsinii;;;;;;;;;x
b_volsinii_adj;Volsinian;;volsiner;;;;;;;;;;;x
b_vulci;Vulci;Vulci;Vulci;;Vulci;;;;;;;;;x
b_vulci_adj;Vulcian;;vulcer;;;;;;;;;;;x
