d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
d_;;;;;;;;;;;;;;x
d__adj;;;;;;;;;;;;;;x
