k_greece;Greek City States;;;;;;;;;;;;;x
k_greece_adj;Greek;;;;;;;;;;;;;x
k_phrygia;Phrygia;;;;;;;;;;;;;x
k_phrygia_adj;Phrygaian;;;;;;;;;;;;;x
k_urartu;Urartu;;;;;;;;;;;;;x
k_urartu_adj;Urartian;;;;;;;;;;;;;x
k_etruscan;Etrusia;;;;;;;;;;;;;x
k_etruscan_adj;Etruscan;;;;;;;;;;;;;x
k_elam;Elam;;;;;;;;;;;;;x
k_elam_adj;Elam;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
k_;;;;;;;;;;;;;;x
k__adj;;;;;;;;;;;;;;x
